,Under Sink Water Filters,total,negative,neutral,positive,NSF Certified,NSF Certified,NSF Certified,NSF Certified,Filter cost,Filter cost,Filter cost,Filter cost,Clogging,Clogging,Clogging,Clogging,Filter-life indicator,Filter-life indicator,Filter-life indicator,Filter-life indicator,Flow rate,Flow rate,Flow rate,Flow rate,Chloroform removal,Chloroform removal,Chloroform removal,Chloroform removal
,,,,,,negative,neutral,positive,total,negative,neutral,positive,total,negative,neutral,positive,total,negative,neutral,positive,total,negative,neutral,positive,total,negative,neutral,positive,total
0,total,40014,13754,7782,18478,1,0,1,2,3263,1296,2190,6749,36,11,11,58,2,2,3,7,298,160,354,812,18,5,16,39
1,B000923524,5594,1912,1124,2558,0,0,0,0,691,285,446,1422,6,0,2,8,1,0,0,1,45,29,42,116,2,0,6,8
2,B005LJ8EXU,12863,4148,2554,6161,1,0,0,1,711,286,560,1557,6,2,1,9,0,0,0,0,42,15,49,106,6,0,1,7
3,B07MFYQBTX,1040,340,186,514,0,0,1,1,112,49,93,254,2,0,0,2,0,0,1,1,9,7,14,30,0,0,1,1
4,B07J9QRVDM,1561,536,305,720,0,0,0,0,116,67,101,284,1,0,0,1,0,0,0,0,8,5,22,35,0,0,0,0
5,B07Y1D6YFQ,152,50,33,69,0,0,0,0,7,3,9,19,0,0,0,0,0,0,0,0,0,1,3,4,0,0,0,0
6,B07Y1M1FJ8,72,25,8,39,0,0,0,0,5,0,5,10,0,0,0,0,0,0,0,0,1,1,4,6,0,0,0,0
7,B00N2941T2,3046,1032,615,1399,0,0,0,0,148,68,83,299,0,1,1,2,0,0,0,0,20,16,51,87,1,2,1,4
8,B005A3WM6C,3868,1315,737,1816,0,0,0,0,236,82,138,456,2,0,0,2,0,0,2,2,19,8,48,75,4,0,0,4
9,B07CHXVRS5,466,179,91,196,0,0,0,0,61,23,37,121,0,0,0,0,0,0,0,0,1,0,4,5,0,0,0,0
10,B00MPGRUNW,5016,1908,933,2175,0,0,0,0,668,241,369,1278,16,8,5,29,1,0,0,1,95,49,57,201,3,2,3,8
11,B06XGZMTRH,859,378,161,320,0,0,0,0,119,33,54,206,1,0,0,1,0,0,0,0,16,9,11,36,0,0,1,1
12,B078XMMDGG,464,135,84,245,0,0,0,0,26,9,19,54,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
13,B00DYIYMW2,86,22,15,49,0,0,0,0,7,4,4,15,2,0,1,3,0,0,0,0,1,0,0,1,0,0,0,0
14,B00N2941N8,3054,1078,586,1390,0,0,0,0,164,65,112,341,0,0,1,1,0,0,0,0,14,8,33,55,1,1,3,5
15,B00CHYLXLM,502,222,96,184,0,0,0,0,68,30,29,127,0,0,0,0,0,2,0,2,22,5,2,29,0,0,0,0
16,B07CQ7HJVY,1309,454,246,609,0,0,0,0,117,48,123,288,0,0,0,0,0,0,0,0,5,7,12,24,1,0,0,1
17,B01IWEQ7FM,62,20,8,34,0,0,0,0,7,3,8,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
