,Kitchen knives,total,negative,neutral,positive,Comfort,Comfort,Comfort,Comfort,Handle sturdiness,Handle sturdiness,Handle sturdiness,Handle sturdiness,Performance,Performance,Performance,Performance
,,,,,,negative,neutral,positive,total,negative,neutral,positive,total,negative,neutral,positive,total
0,total,64909,12045,9863,43001,6,12,39,57,642,440,1883,2965,22,30,95,147
1,B01KTACCBK,11809,1930,1544,8335,0,1,2,3,98,43,157,298,2,3,4,9
2,B008M5U1C2,9890,1932,1647,6311,1,3,9,13,98,105,387,590,3,3,15,21
3,B07W5H8MWG,628,112,72,444,0,0,0,0,1,2,28,31,0,0,1,1
4,B07NY38Q5Q,2873,702,443,1728,0,1,0,1,68,27,66,161,0,0,1,1
5,B000638D32,7651,1372,1228,5051,0,2,3,5,64,57,291,412,3,3,11,17
6,B07VH3L311,1788,257,271,1260,0,0,1,1,12,8,47,67,0,0,3,3
7,B00R200LKU,2061,439,316,1306,0,0,0,0,13,11,48,72,0,1,2,3
8,B01DKR4GNQ,1007,185,143,679,1,0,0,1,23,11,32,66,0,1,1,2
9,B07SZSGVXM,241,44,37,160,0,0,0,0,2,2,3,7,0,0,0,0
10,B07Q1FFC65,732,106,107,519,0,0,0,0,6,3,19,28,0,0,0,0
11,B0000CFDD5,1575,277,257,1041,0,1,0,1,20,17,70,107,2,2,2,6
12,B002R1AZTQ,2253,447,331,1475,0,0,1,1,25,15,62,102,2,1,4,7
13,B081PY7KZM,1344,145,187,1012,0,0,1,1,9,10,78,97,0,0,0,0
14,B07H4FPNN8,772,95,88,589,0,1,0,1,10,4,40,54,0,0,0,0
15,B00004OCJ2,2326,527,409,1390,0,0,2,2,43,30,107,180,2,0,1,3
16,B000N5H2XU,1194,294,187,713,0,0,2,2,4,3,17,24,0,1,1,2
17,B071XTWCY9,8747,1698,1387,5662,3,1,7,11,70,41,189,300,2,14,36,52
18,B000QCLEFC,1085,215,194,676,0,0,0,0,15,14,42,71,2,0,3,5
19,B06WD6Q18V,5573,1011,789,3773,1,2,9,12,52,31,153,236,4,1,10,15
20,B07TMKCRRL,398,50,66,282,0,0,2,2,3,2,24,29,0,0,0,0
21,B01D8FN4CY,962,207,160,595,0,0,0,0,6,4,23,33,0,0,0,0
